Case,Size,Folder,RVE,Point_Index,True_Strain,True_Stress,Source_File
05_001_800,L=2.4um,242424,RVE1,13,0.0695260597573401,95.69881241997771,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,14,0.0751074739796861,93.89761046899352,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,15,0.0806579019727236,92.05451485941909,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,16,0.0861776995220419,90.18111161397704,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,17,0.0916671892871969,88.29486804196584,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,18,0.0971267089999163,86.40302081518156,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,19,0.1025565908534479,84.52184320556555,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,20,0.1079571415585973,82.66037752452479,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,21,0.1133286829121737,80.82636142730234,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,22,0.1186715315172836,79.03050645287747,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,23,0.1239859791491398,77.27373197759253,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,24,0.1292723326662926,75.55706279371854,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,25,0.134530887539002,73.88035691812591,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,26,0.1397619475581712,72.24916146779164,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,27,0.1449657730344857,70.64886361825371,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE1,28,0.1501426588400785,68.95245942543464,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE1\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,1,0.0,0.0,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,2,0.0059820717293904,106.2265594148959,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,3,0.011928570968345,109.10631435247296,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,4,0.0178399173671714,108.80035468049915,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,5,0.0237165268210428,109.11313659630336,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,6,0.0295588015905227,108.16691850755228,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,7,0.0353671423414218,106.97062275037952,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,8,0.0411419427877547,105.62546870884874,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,9,0.046883586296973,104.16828428106412,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,10,0.0525924514481166,102.6201782000872,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,11,0.0582689068587828,100.9962317283898,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,12,0.063913325408167,99.30788469515063,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
05_001_800,L=2.4um,242424,RVE2,13,0.0695260597573401,97.56262136437736,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\242424\RVE2\05_001_800.csv
