Case,Size,Folder,Grid_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Std_Stress,Min_Stress,Max_Stress,Experiment_Stress,Relative_Error_pct
07_01_500,L=2.0um,202020,84,0.03877404682274247,712.4329917288532,694.1029338047,690.4565851649572,698.99750356617,11.777445445759247,690.4565851649572,712.4329917288532,689.5742948916746,1.3665255135381325
07_01_500,L=2.0um,202020,85,0.039241204013377926,712.794836415197,694.196601989032,690.7011559702862,699.2308647915052,11.876048601017551,690.7011559702862,712.794836415197,689.7821591814792,1.3698100892081855
07_01_500,L=2.0um,202020,86,0.03970836120401337,713.1566811015407,694.2902701733641,690.9457267756151,699.4642260168399,11.975349152311471,690.9457267756151,713.1566811015407,689.9787576721368,1.3747478801674087
07_01_500,L=2.0um,202020,87,0.04017551839464883,713.5185257878845,694.3839383576961,691.190297580944,699.6975872421749,12.07532989470453,691.190297580944,713.5185257878845,690.1753561627945,1.3796828580379423
07_01_500,L=2.0um,202020,88,0.04064267558528428,713.8803704742284,694.4776065420282,691.434868386273,699.9309484675099,12.175974072420814,691.434868386273,713.8803704742284,690.3719546534522,1.3846150252230351
07_01_500,L=2.0um,202020,89,0.04110983277591973,714.2422151605721,694.5712747263602,691.679439191602,700.1643096928448,12.277265369727997,691.679439191602,714.2422151605721,690.5790336343563,1.3880056578091313
07_01_500,L=2.0um,202020,90,0.041576989966555185,714.4999379327515,694.6103132700989,691.82623666271,700.3121626218535,12.365577093017084,691.82623666271,714.4999379327515,690.8202093137357,1.37401210621026
07_01_500,L=2.0um,202020,91,0.04204414715719063,714.7499756628046,694.6453197030886,691.9658176684046,700.4537043447659,12.453210950903365,691.9658176684046,714.7499756628046,691.0613849931152,1.3591150591845447
07_01_500,L=2.0um,202020,92,0.04251130434782609,715.0000133928576,694.6803261360782,692.1053986740992,700.5952460676784,12.541154417677314,692.1053986740992,715.0000133928576,691.3025606724948,1.3442284064655818
07_01_500,L=2.0um,202020,93,0.042978461538461535,715.2500511229105,694.7153325690679,692.2449796797938,700.7367877905907,12.629401025556556,692.2449796797938,715.2500511229105,691.5437363518743,1.3293521371783208
07_01_500,L=2.0um,202020,94,0.04344561872909699,715.5000888529635,694.7503390020574,692.3845606854884,700.8783295135031,12.717944464283898,692.3845606854884,715.5000888529635,691.744104474629,1.3204630122307182
07_01_500,L=2.0um,202020,95,0.04391277591973244,715.7501265830164,694.7853454350471,692.524141691183,701.0198712364155,12.806778577177944,692.524141691183,715.7501265830164,691.9248796081853,1.314447839103635
07_01_500,L=2.0um,202020,96,0.04437993311036789,716.0001643130694,694.8203518680368,692.6637226968776,701.1614129593278,12.895897357264305,692.6637226968776,716.0001643130694,692.1056547417415,1.3084358082532033
07_01_500,L=2.0um,202020,97,0.04484709030100334,716.2502020431224,694.8553583010264,692.8033037025722,701.3029546822403,12.985294943485348,692.8033037025722,716.2502020431224,692.2864298752979,1.3024269172178502
07_01_500,L=2.0um,202020,98,0.045314247491638794,716.5002397731753,694.8903647340161,692.9428847082668,701.4444964051527,13.07496561699073,692.9428847082668,716.5002397731753,692.4672050088542,1.2964211635385239
07_01_500,L=2.0um,202020,99,0.04578140468227425,716.7502775032283,694.9253711670057,693.0824657139614,701.5860381280651,13.16490379750844,693.0824657139614,716.7502775032283,692.5991136616657,1.297565112217209
07_01_500,L=2.0um,202020,100,0.046248561872909696,717.0003152332813,694.9603775999954,693.222046719656,701.7275798509776,13.25510403979502,693.222046719656,717.0003152332813,692.7215646900315,1.300091641434019
07_01_500,L=2.0um,202020,101,0.04671571906354515,717.2503529633342,694.995384032985,693.3616277253507,701.86912157389,13.345561030166621,693.3616277253507,717.2503529633342,692.8440157183974,1.3026172775894773
07_01_500,L=2.0um,202020,102,0.0471828762541806,717.4481717592369,695.0040029725378,693.4544635733603,701.968879435045,13.427830659892162,693.4544635733603,717.4481717592369,692.9664667467632,1.2991123121072459
07_01_500,L=2.0um,202020,103,0.04765003344481605,717.6167017407398,694.997821564088,693.5210807658228,702.0452013568835,13.50551402204456,693.5210807658228,717.6167017407398,693.0769252535581,1.2939798998566248
07_01_500,L=2.0um,202020,104,0.0481171906354515,717.7852317222428,694.9916401556382,693.5876979582853,702.1215232787221,13.58332010504403,693.5876979582853,717.7852317222428,693.1193803214167,1.2987867909754438
07_01_500,L=2.0um,202020,105,0.048584347826086956,717.9537617037457,694.9854587471884,693.6543151507478,702.1978452005606,13.661246812062608,693.6543151507478,717.9537617037457,693.1618353892751,1.303593093265282
07_01_500,L=2.0um,202020,106,0.0490515050167224,718.1222916852487,694.9792773387386,693.7209323432104,702.2741671223993,13.739292090629595,693.7209323432104,718.1222916852487,693.2042904571337,1.308398806834343
07_01_500,L=2.0um,202020,107,0.04951866220735786,718.2908216667516,694.9730959302889,693.787549535673,702.3504890442379,13.817453931558099,693.787549535673,718.2908216667516,693.2467455249921,1.3132039317907727
07_01_500,L=2.0um,202020,108,0.04998581939799331,718.4593516482545,694.966914521839,693.8541667281355,702.4268109660765,13.89573036789973,693.8541667281355,718.4593516482545,693.2430356817466,1.3247555058809015
07_01_500,L=2.0um,202020,109,0.05045297658862876,718.6278816297574,694.9607331133892,693.9207839205981,702.503132887915,13.974119473926113,693.9207839205981,718.6278816297574,693.1899884572027,1.343519754438462
07_01_500,L=2.0um,202020,110,0.050920133779264215,718.7964116112604,694.9545517049395,693.9874011130606,702.5794548097534,14.052619364136294,693.9874011130606,718.7964116112604,693.1369412326588,1.3622868751306543
