Case,Size,Folder,Sample_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Errorbar_Lower,Errorbar_Upper,Experiment_Stress,Relative_Error_pct
11_06_20,L=2.0um,202020,4,0.1008695,1239.1836498148427,1164.3120820073402,1200.0468719782418,1201.1808679334752,37.44866321523674,37.44866321523674,1188.12449877256,1.0989058111674004
11_06_20,L=2.4um,242424,1,0.0296675,1123.5917102317244,1133.9133469781482,1153.1109728274419,1136.872010012438,14.980386552475421,14.980386552475421,1141.067565860585,0.36768689021344364
11_06_20,L=2.4um,242424,2,0.0534015,1211.5155902819063,1231.5670822053692,1247.060702534911,1230.0477916740622,17.821193396026096,17.821193396026096,1157.1450823371479,6.300222024853514
11_06_20,L=2.4um,242424,3,0.0771355,1249.1604975989358,1271.5716129496545,1277.837341634324,1266.1898173943048,15.076907458334516,15.076907458334516,1172.977034272973,7.94668441050138
11_06_20,L=2.4um,242424,4,0.1008695,1265.8500246023902,1289.9368720773998,1286.4348387919615,1280.7405784905839,13.013935054624246,13.013935054624246,1188.12449877256,7.795149398375734
12_06_500,L=1.6um,161616,1,0.03499,764.1306930723663,862.4618873641398,825.0226156608499,817.2050653657852,49.629542735889935,49.629542735889935,819.15805875,0.23841471903419498
12_06_500,L=1.6um,161616,2,0.062982,768.3200014688285,866.4710754310075,841.9472369304997,825.5794379434452,51.081669537543,51.081669537543,842.3741854814815,1.9937395788591032
12_06_500,L=1.6um,161616,3,0.090974,763.2732977063505,859.3418328819621,836.2502460283946,819.621792205569,50.14648512209317,50.14648512209317,848.0866384000001,3.3563606482626387
12_06_500,L=1.6um,161616,4,0.118966,754.8277929269259,848.4568403161941,822.9441165286279,808.7429165905827,48.40304937207685,48.40304937207685,852.8900854358974,5.176185020693709
12_06_500,L=2.0um,202020,1,0.03499,836.1285723193544,821.7559866797096,812.635350586142,823.5066365284019,11.844046944394297,11.844046944394297,819.15805875,0.5308594271827923
12_06_500,L=2.0um,202020,2,0.062982,853.1256292236502,824.1488521143361,822.8004352752334,833.35830553774,17.132275717798148,17.132275717798148,842.3741854814815,1.0702939500203548
12_06_500,L=2.0um,202020,3,0.090974,852.51348321738,817.7092924684788,817.38538386437,829.2027198500763,20.18836287990622,20.18836287990622,848.0866384000001,2.226649695312993
12_06_500,L=2.0um,202020,4,0.118966,844.8364140369434,808.1120105092408,806.5177748586872,819.8220664682905,21.67772093743724,21.67772093743724,852.8900854358974,3.8771723968049674
12_06_500,L=2.4um,242424,1,0.03499,867.6659902990131,879.0521728475635,887.8912407742575,878.2031346402779,10.139321407503914,10.139321407503914,819.15805875,7.208019900381389
12_06_500,L=2.4um,242424,2,0.062982,881.5210573287972,892.0215404251976,896.8588711537961,890.1338229692637,7.841220640159342,7.841220640159342,842.3741854814815,5.669646376981976
12_06_500,L=2.4um,242424,3,0.090974,873.2320405220885,881.2831795704457,883.670817117659,879.395345736731,5.469456247274122,5.469456247274122,848.0866384000001,3.691687372388968
12_06_500,L=2.4um,242424,4,0.118966,857.4458796854109,863.9305413386604,864.1942258830592,861.8568823023769,3.8223148025638825,3.8223148025638825,852.8900854358974,1.0513426078691883
15_06_800,L=1.6um,161616,1,0.0346575,190.46565320424307,218.04993293249169,214.49527542187263,207.67028718620247,15.005281415033311,15.005281415033311,195.73258921875,6.098983319589635
15_06_800,L=1.6um,161616,2,0.0623835,184.34140162972417,205.462863826696,201.52469209941282,197.109652518611,11.231583691072357,11.231583691072357,180.98550705,8.90908102611579
15_06_800,L=1.6um,161616,3,0.09010950000000001,176.6423191426706,190.09803126160347,184.65856570231935,183.79963870219783,6.7688524766427385,6.7688524766427385,181.21230403631284,1.427791937001424
15_06_800,L=1.6um,161616,4,0.1178355,167.9040531823012,170.9920664140057,166.4207114585129,168.43894368493991,2.3321454542195696,2.3321454542195696,175.6281643220339,4.093432659189989
15_06_800,L=2.0um,202020,1,0.0346575,216.49731651568888,206.26756839395702,205.4154438643152,209.39344292465367,6.166870685490303,6.166870685490303,195.73258921875,6.979345524641451
15_06_800,L=2.0um,202020,2,0.0623835,203.63723494816628,195.52583754974373,195.36424168826693,198.1757713953923,4.730456258049582,4.730456258049582,180.98550705,9.498144147333983
15_06_800,L=2.0um,202020,3,0.09010950000000001,187.0201406735185,182.7558048021618,181.97182140584775,183.91592229384267,2.7167602586466706,2.7167602586466706,181.21230403631284,1.4919617472487143
15_06_800,L=2.0um,202020,4,0.1178355,169.4429564628575,169.1444852811817,166.66283503145453,168.41675892516457,1.5262562138343527,1.5262562138343527,175.6281643220339,4.10606432328611
15_06_800,L=2.4um,242424,1,0.0346575,223.1469670868848,226.55585368138696,226.01188906214227,225.238236610138,1.8314012506584307,1.8314012506584307,195.73258921875,15.074468441436995
15_06_800,L=2.4um,242424,2,0.0623835,208.3439953879066,211.50426872214103,211.74126804243934,210.52984405082898,1.896705815975469,1.896705815975469,180.98550705,16.32414522156568
15_06_800,L=2.4um,242424,3,0.09010950000000001,189.27552842234346,192.25375007291913,193.48518085875818,191.67148645134026,2.1643859643357803,2.1643859643357803,181.21230403631284,5.771783803891989
15_06_800,L=2.4um,242424,4,0.1178355,168.67164168286905,171.64255780155545,173.20540839646674,171.17320262696376,2.303037312608851,2.303037312608851,175.6281643220339,2.536587290693013
